Date,Open
11,179.30
8,181.53
7,175.80
6,172.50
5,170.45
4,176.29
1,176.03
30,176.85
29,181.89
28,183.51
27,182.56
24,180.40
22,181.30
21,179.15
20,178.87
17,179.30
16,178.76
15,176.66
14,178.13
13,177.50
